ID	rating	text
ID_100151	10	The good news is you don't really need to watch the original Star Wars films in order to follow along with this film. But then honestly, why wouldn't you have seen the original Star Wars films? Star Wars is really an amazing franchise, starting in 1977 with the very first film. Can you imagine watching that in its inception? All these years later, you're still in awe of the characters, the story, the effects, the set pieces--the whole universe. The sets don't even look that different in this one than the ones from the '70s. Yet, we're still in awe.Without giving too much away, Star Wars: The Force Awakens revolves around the First Order (the dark side) trying to control the galaxy while racing against the Resistance (the light side) to find the disappeared Luke Skywalker. The film mixes old characters with a band of new characters--characters that you're going to love--and doesn't stray from what was so charismatic about the original movies.The film truly has that classic feel to it--from the scene cuts to the camera-work to the dialogue. This isn't your Marvel movie, folks. In fact, it makes us rethink what exactly we love about those films to begin with. I mean, we have Star Wars back now. What more could we want? But there is a different kind of levity brought here that we actually may be able to actually thank Marvel for. It's not too much, but the perfect amount. In the originals, they would have never dared make light of any scene involving Darth Vader, but here we are given one surprising, yet heedful laugh during a bit that involves the neo-Darth Vader, Kylo Ren--who is just as bit of creepy and sinister as Vader.The newcomers, John Boyega as an ex-stormtrooper, Finn, and Daisy Ridley as a orphaned scavenger, Rey, will have no problems being the new faces of the franchise. Their characters have a lot of depth already, with much more yet to be explored.Harrison Ford is back as Han Solo, and he's better than he's ever been. His performance is actually award-worthy. I mean, just give the guy an Oscar already (he's only had 1 nomination ever--seriously).And what is Star Wars without a couple twists? The ones that we're given are great, and you know they're stringing you along for more. They don't answer every question in this film. They answer a lot, but still leave you talking afterwards and speculating. It teaches us to be patient and we're surprisingly okay with that. The film doesn't give in to the immediate gratification that the Avengers culture usually demands.It runs at 135 minutes, but feels no longer than 100. The pacing is basically near-perfect, which attributes to it's deceptive length.I truly didn't want it to end. It's the year's best film and perhaps the best one I've seen in at least 5 years. It gave me the happy chills about eleven different times. I can't even begin to explain how good it is. I guess you're just going to have to see it for yourself. Who am I kidding? Everyone's about to watch this movie. But that's Star Wars for ya.Twizard Rating: 100
ID_100152	6	"Hypocritical marketing and lazy writing took the magic from Star Wars.I'm not disappointed with this movie, I just move on. Furthermore I believe this is what a lot of other Cinephils and probably some ""Star Wars"" Fans are going to do as well. Not a problem for Disney, for sure. But as they don't give a s---,I'm now ""forced"" to do the same.Funny thing is, I convinced my 10 year younger girlfriend to watch the midnight screening for this, because I had hoped after reading Disney is going to take this seriously, even with a whole story-group overlooking the new movies, where there are more women involved would be really interesting. Turns out some old guys like Ridley Scott, George Miller, a middle aged Tarantino and even George Lucas himself to some extent in his OT, are far more capable when it comes to write strong believable female characters.After Mad Max Fury Road we talked the whole night about that movie until we had sexual intercourse, after the Force awakens we proceeded right to the juicy bit, without much talk. I'm one of those guys who likes both intercourse and conversation, figure yourself which movie my girlfriend was really in awe with and in which she was bored to sleep.I loved JJ Abrams Star Trek for what it is, I can have fun with such stuff, if it's done right. But, well... He made such a fool of himself here, it's kinda funny really, because of the marketing, NOT because of the movie. Movie was average, nothing to talk about really, but because of the insulting marketing. Movie target group could be considered uneducated teenagers with a lot of money, the marketing not so. Should be remembered. The ""professional"" critics *cough* must not be forgotten. I imagine a hard life to be chained to whatever you think you're chained to.I'm so proud about my girlfriend now, even more than before, that I really have to thank Disney and JJ for this. As intended? Hehe, I don't think so. What does a Kiri Hart or Kathleen Kennedy see in their mirrors now? Well probably dollars or something, I guess.To all those,"" IT FEELS LIKE STAR WARS!!1"" 10 stars reviews. You should watch some adds featuring Star Wars, they feel like Star Wars. A movie with the tag Star Wars should for sure not just feel like it, it should be plain Star Wars and not only felt alike. Enjoy it nonetheless, which is fine for me. Live and let live. That's diversity.Mathhew Vaughn is the only director here, who gained a lot of credit because of Star Wars The Force Awakens. The initiated will know why.Star Wars TFA 6,9/10 good scifi-fantasy, nothing more, perhaps less."
ID_100153	8	I'm not objective on this. I know. I don't care. I love Star Wars. This has all the Star Wars feeling from beginning to end. The plot works. The characters are well defined, are different from each other and feel authentic. The way we're introduce to each of the old classics is exemplary. I love it.
ID_100154	10	"'STAR WARS: THE FORCE AWAKENS': Five Stars (Out of Five)The seventh installment in the immensely popular space opera film series; and the first chapter in over ten years. It takes place 30 years after the events of 'RETURN OF THE JEDI'; when the Galactic Empire has now become 'The First Order', and the rebel alliance has now become the 'Resistance'. The story deals with a First Order stormtrooper, named Finn, who's looking for redemption; after gaining possession of a map, to Luke Skywaler's whereabouts. The film was directed by J.J. Abrams; and it was written by Abrams, Michael Arndt and Lawrence Kasdan (who also co-wrote 'THE EMPIRE STRIKES BACK' and 'RETURN OF THE JEDI'). Harrison Ford, Mark Hamill, Carrie Fisher, Peter Mayhew, Anthony Daniels and Kenny Baker all reprise their roles, from the original trilogy; and they're joined by newcomers Daisy Ridley, John Boyega, Adam Driver and Oscar Isaac. The series creator, George Lucas, returned as a creative consultant; and John Williams once again scored the music (as he did all six previous chapters, in the franchise). I think it's the most entertaining movie, I've seen, in 35 years!We first learn that Luke Skywalker (Hamill) has gone missing; and due to his absence, the ruthless First Order has gained power, and control, over the galaxy. Princess Leia Organa (Fisher) is now a general, of the Resistance, and she believes finding Luke is humanity's only hope. She sends her best X-wing fighter pilot, named Poe Dameron (Isaac), to the desert planet of Jakku; in order to locate a map, which can lead to her brother's whereabouts. On his mission Poe meets a stormtrooper, looking for redemption, named Finn (Boyega). Finn joins Poe in his adventure; he also later teams up with a scavenger, named Rey (Ridley), and a veteran war hero, named Han Solo (Ford).The film is definitely the best written, of the entire franchise; with clever, witty dialogue (for the first time, in the series). It also has the most humanity, and thoughtful drama (I cried multiple times). It's surreal seeing Han, Luke, Leia, Chewbacca, and other original cast members, on the big screen again (in a new movie); and I think it was justifiable asking Fisher and Hamill to lose weight, for their parts (it's necessary to the roles they're playing). The new characters are also extremely likable, and soon to be classic, as well. Ridley is a revelation, and I think she rivals Jennifer Lawrence; for one of the best performances of the year! Driver, Boyega and Isaac are all fantastic as well; and Ford is, once again, classic! The movie (without question) deserves several Oscar nominations; for Best Picture, Best Director, Best Original Screenplay, acting and more. The approach Abrams takes, to the material, is exactly right (it's traditional, old fashioned filmmaking). The film is everything you could possibly expect (or want) from a 'STAR WARS' movie; it's funny, heartfelt, touching and action-packed. All of the best parts of the previous installments, with none of the cheese! It's at least the best in the series since 'THE EMPIRE STRIKES BACK'!Watch our movie review show 'MOVIE TALK' at: https://vimeo.com/149466777"
ID_100155	6	While this movie isn't bad per se, it's about as surface-level as a film can get. It's a cash grab. I hadn't heard a thing about the movie before watching it, so I went into the experience without any bias whatsoever.I don't think this even deserves a lengthy review which explains everything that's wrong with it. All you need to know is this movie isn't an evolution on Star Wars and I think that's what we all somewhat expected in 2016. It's basically a remake that failed.Events just happen in this movie because they do. That's why. There's no significant background or genuine emotion being projected from any of the characters. Is it entertaining? Sure. But it isn't good. It's stale, lacks character development, and only wants to impress you with late 1970s effects.
ID_100156	9	"Easily the best Star Wars film in the sequel trilogy.
It was a good basis and I loved the rendition to a new home which was clever by Abrams.
Should be appreciated by many.
Shame the last Jedi didn't quite follow that down that path that Abrams left...
JJ Abrams should have directed the whole sequel trilogy and I'm sure if that would've been the way.. The outcome sure as hell would've been different from a very divided Star Wars fan base."
ID_100157	7	"Episode IV was seen on an European beach movie theater in 1978, real stars in the sky, fake stars on the screen. It was unbelievable, purely magic. 1981 ""the Empire strikes back"" was released, new creations, especially ""Yoda"" and the new empire spaceships, planet Hoth, the city in the clouds etc... Episode VI was a panting expectation. Released in 1983, many critics saw it as weak. Still, new creations like the Ewoks or the woods vehicles were to see. The saga was almost finished. The galaxy was at peace.Episode 1 to 3 were also an attempt to create, sometimes very clumsy though. A very poor Darth Vader young man, but good Ewan McGregor and Natalie Portman, new things were also to discover, like Boba Fett father, new space vehicles, undersea world...But what is wrong with Episode VII ? Everything. Nothing is new, no creation at all. You take the best of Episode IV to VI, remixes it with a couple of new characters like the wonderful Rey (she is really good), you add in your salad a new emperor and his new disciple, a pathetic Darth.. what ? Son of Han Solo. Then, a coloured actor who is fully lost (Finn), and a new cute robot. That's it. The technical side is of course perfect. It is indeed. I do not believe George Lucas has appreciated the finality.It is said that we are 30 years after episode VI. What has changed in 30 years ? Nothing, the spaceships are the same (my car brand has evolved in this long time), imperial destroyers, imperial fighters, rebel X-Wings fighters are identical. We add a new so called Jabba, a new Cantina and a new death star on top and the salad is done.Ridiculous at most. What is the target of the makers ? Money of course, they reach the kids and drag the original fans to the movie theaters, like me. From 7 to 77 as Hergé said. Good move, bad movie ! Seven points for the technique."
ID_100158	8	"I was seven when I first watched Star Wars (1977). Like many nineties kids' I watched the beloved first trilogy on VHS, in the days before George Lucas's Industrial Light and Magic had its way with the ""Deluxe DVD"" modified version. The space saga of Luke an Leia was never bestowed upon me by my parents with fond memories of the premiere. My mother, though fond of musicals, was not much for sci-fi or action movies; my father even less so. It was my older brothers who first sat me down to gaze upon its glory and since those days, every space adventure I have watched over the years lives or dies on the standard of the Star Wars.I say all this not only to lay out my fandom bonafides but also to highlight that my thoughts of Star Wars: The Force Awakens comes from a contemplative place and not the blather of a movie snob or a knee- jerk reaction to the whims of the crowd. I, among others have been burned by this franchise before and repeated viewings of the prequels only serves to underline a simple truth; not everything your loved when you were a teenager was good. So the question now is will this continuation of a long time ago, in a galaxy far away be re-watchable a decade from now?I short yes. Star Wars: The Force Awakens is a glorious epic of enormous beauty and scale. The pulse-pounding action, the unabashedly sincere characters and the small smatterings of brevity work to be the kick in the pants movies of this ilk have needed for decades. The welcome return of familiar faces liberally mixed with new and interesting characters gives the franchise all the ammo it needs to become the primary movie franchise for a whole new generations of padawans. The stakes are just as high, the acting is just as strong and the direction is just as flawless.The fact that everything works is no accident either. Director J.J. Abrams very purposely set up all the pieces of his puzzle with similar aplomb as the original creators (George Lucas, Gay Kurtz, Gilbert Taylor et al.). In many cases Abrams even used the same pieces. The score is still provided by the illustrious John Williams, the film itself was shot in the same aspect ration on 35mm film and emphasis was given to practical special effects over computer generated. Also on-board was original scribe for The Empire Strikes Back (1980) Lawrence Kasdan who co-wrote Force Awakens with Abrams.This is where there are some unfortunate kinks in the armor however. As irreproachable as we feel the originals are, they are not in-fact flawless. Thus much of the problems that plague the originals also plague Force Awakens specifically the dialogue and characterization. Daisy Ridley and John Boyega do a fine job finding the deeper meanings of the force/dark side, even when the story needs them to act against their own self interest (their love patter leave much to be desired however). Adam Driver's Kylo Ren on the other hand seems to falter not just under the wait of the franchises most iconic villain, Darth Vader but under the weight of his character's conflicts. Darth Vader never needed to throw a hissy fit with a lightsaber; a cold dead look was enough to make us think he was serious. My guess is in the sequels to come, a rift between him and Domhnall Gleeson's General Hux will solidify Kylo Ren as the sinister force he needs to be.In that lies the future success of the Star Wars franchise; what happens next? J.J. Abrams has a tendency to leave absolutely everything out on the field thus the reason why Alias (2001-2006), Lost (2004-2010) and Fringe (2008-2013) all petered into rambling shadows of their former selves. Likewise, the fantastical wonder that was Star Trek (2009) hit a creative deja vu by the time Star Trek: Into Darkness (2013) arrived on the scene. In this case however, I think there's more, much more to the saga than an almost surgical emulation of the originals. Abrams is building something, something big and it's going places."
ID_100159	9	Ok, so Disney have got their hands on the Star Wars franchise and too many people don't like it - BOO HOO!Born in 1975 I grew up with Star Wars in my DNA, and I realise that nothing will ever match the scale and success of the original trilogy, but don't hate this for doing it's best!All the new characters work! They appeal to a new audience and they are humorous and very cool. Nostalgia is abundant with the return of Han, Leia and Chewy! What's not to enjoy????Littered with epic scenes this movie builds a new Star Wars world with a new threat born out of the old evil empire. Yes it's similar, but does that really make it bad???? The tech has evolved along realistic timelines to deliver more powerful weapons that aren't too different to the old weapons, is that really so bad???To score this movie with 1 or 2 stars is a joke, so along with the movie why don't you all hate this review and vote it down. Or you could simply stop watching these movies if you all hate them so much!If, like me, you can unplug and enjoy Star Wars again then watch this and enjoy it. It's far better than the haters say it is!9/10
ID_100160	10	"Let's get one thing straight: the plot is derivative. There are tons of parallels to Star Wars: A New Hope, and pretty much the same events are going on.But what I was most surprised about was that I didn't care. I've talked with friends who have also seen it, and our consensus was that that part was obvious, but that none of us care. The reason why is because it was so well executed, and the new stuff brought to the table was probably the best parts of the movie.For starters, let's talk the new characters, because they're the main focus: they're fantastic. Rey was an awesome and inspiring lead. Finn was fearless if not naive and brought so much enthusiasm to the movie throughout. BB-8 was surprisingly absolutely adorable--to give any examples of his behavior would be to spoil some really charming moments. Poe was a pleasant surprise, because the trailers didn't show him off much but he was an absolute joy to watch. Captain Phasma is my only complaint--heavily underutilized in this movie.The big standout for me, however, was Adam Driver as Kylo Ren. Let it be known: he is NOT Vader 2.0. He doesn't try to be Vader 2.0. To go any further would be to spoil the movie, but trust me, he's one of the most interesting characters to come out of Star Wars in a long time.The old cast returns and is given amazing justice. This isn't them returning right back to their characters--this is them embodying their characters as they are decades later. Harrison Ford in particular was brilliant in his role and mannerisms.Visual effects: Outstanding. For the most part, the movie uses practical effects, and it really shows, because the movie is super engaging throughout its duration. Try to compare some of these scenes to those in any in the Star Wars prequels, and you'll see what I mean. Once again, I can't spoil details. It's funny, because there are only a handful of creatures and moments that use CG effects, and those are the ones that end up sticking out.Writing: Also super well done. A big flaw in the prequels is that everything got mired in unnecessary and redundant details. The most quoted lines from the prequels are most often the ones that are so stupid it's hard not to forget them (the sand monologue, for example). Meanwhile, everyone I've seen can't stop quoting random pieces of dialogue from the new movie that are so well done and so memorable. The dialogue is interesting, feels real, and leaves for some amazing one-liners--super reminiscent of the original trilogy in that way.Story: As I mentioned, yes it's derivative, but that doesn't mean it's not done super well. Plus, the scenes that have no parallels to A New Hope are some of the best in the movie. Much of the final act, for example, is not easily paralleled, and I was kept on the edge of my seat pretty much the entire movie. People here seem to be criticizing the movie for it's ""plot holes"". Most of these aren't even plot holes though! They're so explicitly left as mysteries so they can be answered and expanded upon in the next movie! Which is what's making people super excited for the next movie already!Also, my biggest complaint with J.J. Abrams' other works is how convoluted and roundabout they get. But Star Wars is meant to have much more straightforward stories (also something the prequels with the exception of ROTS were not good at). J.J. Abrams seems to have acknowledged this because this movie definitely feels like Star Wars in its far more straightforward approach. It feels much less confused and mired in details, and always seems to keep the main plot line going.Music: It's John Williams. It's memorable. Especially after seeing the movie a second time. It feels like Star Wars, and it enhances every moment wonderfully.Lightsabers: Okay, so without spoiling anything, I will say that the lightsaber fights in this movie will blow you away. They're big, dangerous, brutal, emotive, natural, and use the environments in super interesting ways. The fights in this movie are some of the best fights I've seen in the series history.Conclusion: Like I said, the plot frame is the same as A New Hope's. In many respects, it is the same. But it feels different than ANH, and yet it still feels like Star Wars. And it is executed so well that it was hard to even care that it followed the same frame. And the best parts of the movie are the new parts. The movie is intended to return to the heart and soul that made Star Wars so great in the first place, and it succeeds at that with flying colors. Engaging dialogue, great one-liners, awesome action sequences, a great character-driven plot, and a general captivation by the galaxy far, far away.Also, keep in mind, I made sure to write this review only after a few days of heavily considering all of the elements of this movie, and after seeing the movie a second time. My opinion hasn't changed. In fact, it got even better (originally I gave this movie a 9).Note, however: Now that the series is re-grounded in excellency, it's up to Rian Johnson to create an Episode VIII that takes the series to completely new places with a brand new plot based on all the brand new things this movie has brought to the table. If it doesn't, then Episode VII will be remembered as the film that spawned a rehashed series. If it does, however, then Episode VII will be remembered as an excellently-executed reintroduction to the series that had been long lost in a ""meh"" prequel trilogy and some very questionable Expanded Universe decisions (with the exception of stories like Thrawn and Revan)."
